name	qid	measure	value
BM25	100004	bpref	0.14285714285714285
BM25	100004	recip_rank	0.0016806722689075631
BM25	100004	P_5	0.0
BM25	100004	ndcg	0.03124726228523977
BM25	100051	bpref	0.5
BM25	100051	recip_rank	0.017241379310344827
BM25	100051	P_5	0.0
BM25	100051	ndcg	0.15143344412397394
BM25	10008	bpref	0.03571428571428571
BM25	10008	recip_rank	0.0025252525252525255
BM25	10008	P_5	0.0
BM25	10008	ndcg	0.01252354838341001
BM25	100090	bpref	0.5
BM25	100090	recip_rank	1.0
BM25	100090	P_5	0.4
BM25	100090	ndcg	0.750612617973209
BM25	100167	bpref	0.3333333333333333
BM25	100167	recip_rank	0.01818181818181818
BM25	100167	P_5	0.0
BM25	100167	ndcg	0.08863711974209448
BM25	100226	bpref	0.4
BM25	100226	recip_rank	0.3333333333333333
BM25	100226	P_5	0.2
BM25	100226	ndcg	0.19170097445390158
BM25	1003103	bpref	0.4
BM25	1003103	recip_rank	0.003355704697986577
BM25	1003103	P_5	0.0
BM25	1003103	ndcg	0.08619817801841667
BM25	1004712	bpref	0.0
BM25	1004712	recip_rank	0.02702702702702703
BM25	1004712	P_5	0.0
BM25	1004712	ndcg	0.23608913186406352
BM25	1004796	bpref	0.0
BM25	1004796	recip_rank	0.0
BM25	1004796	P_5	0.0
BM25	1004796	ndcg	0.0
BM25	100529	bpref	0.6
BM25	100529	recip_rank	1.0
BM25	100529	P_5	0.4
BM25	100529	ndcg	0.4414532205761471
BM25	100568	bpref	0.0
BM25	100568	recip_rank	0.0
BM25	100568	P_5	0.0
BM25	100568	ndcg	0.0
BM25	1005884	bpref	0.8
BM25	1005884	recip_rank	1.0
BM25	1005884	P_5	0.2
BM25	1005884	ndcg	0.4791177406926894
BM25	1007350	bpref	0.75
BM25	1007350	recip_rank	0.07692307692307693
BM25	1007350	P_5	0.0
BM25	1007350	ndcg	0.25176189169241364
BM25	100751	bpref	0.6
BM25	100751	recip_rank	0.017241379310344827
BM25	100751	P_5	0.0
BM25	100751	ndcg	0.18435229409844725
BM25	100769	bpref	0.6666666666666667
BM25	100769	recip_rank	0.5
BM25	100769	P_5	0.4
BM25	100769	ndcg	0.6162750301155956
BM25	10082	bpref	0.5
BM25	10082	recip_rank	1.0
BM25	10082	P_5	0.2
BM25	10082	ndcg	0.5186797194398971
BM25	1008217	bpref	0.5
BM25	1008217	recip_rank	0.3333333333333333
BM25	1008217	P_5	0.2
BM25	1008217	ndcg	0.26495984242513587
BM25	100963	bpref	0.6
BM25	100963	recip_rank	0.2
BM25	100963	P_5	0.2
BM25	100963	ndcg	0.23763231614004868
BM25	1010310	bpref	0.5714285714285714
BM25	1010310	recip_rank	0.037037037037037035
BM25	1010310	P_5	0.0
BM25	1010310	ndcg	0.15730515713005766
BM25	101105	bpref	0.6
BM25	101105	recip_rank	0.002638522427440633
BM25	101105	P_5	0.0
BM25	101105	ndcg	0.11958797433115136
BM25	101179	bpref	0.8
BM25	101179	recip_rank	0.05555555555555555
BM25	101179	P_5	0.0
BM25	101179	ndcg	0.21855061402488002
BM25	1011989	bpref	0.6
BM25	1011989	recip_rank	0.5
BM25	1011989	P_5	0.2
BM25	1011989	ndcg	0.518804183870554
BM25	101226	bpref	0.25
BM25	101226	recip_rank	0.07142857142857142
BM25	101226	P_5	0.0
BM25	101226	ndcg	0.09123986292222995
BM25	1012641	bpref	0.6666666666666666
BM25	1012641	recip_rank	0.022727272727272728
BM25	1012641	P_5	0.0
BM25	1012641	ndcg	0.17443474691079727
BM25	1012717	bpref	0.1111111111111111
BM25	1012717	recip_rank	0.009174311926605505
BM25	1012717	P_5	0.0
BM25	1012717	ndcg	0.0216345174184719
BM25	1012733	bpref	0.8
BM25	1012733	recip_rank	1.0
BM25	1012733	P_5	0.2
BM25	1012733	ndcg	0.36794984725555857
BM25	101294	bpref	0.2
BM25	101294	recip_rank	0.0017421602787456446
BM25	101294	P_5	0.0
BM25	101294	ndcg	0.02762646473388011
BM25	1013830	bpref	0.5
BM25	1013830	recip_rank	0.14285714285714285
BM25	1013830	P_5	0.0
BM25	1013830	ndcg	0.2811145087252792
BM25	101421	bpref	0.8
BM25	101421	recip_rank	0.3333333333333333
BM25	101421	P_5	0.2
BM25	101421	ndcg	0.24181041794217314
BM25	10148	bpref	0.0
BM25	10148	recip_rank	0.0026109660574412533
BM25	10148	P_5	0.0
BM25	10148	ndcg	0.016125147212393155
BM25	101587	bpref	0.5
BM25	101587	recip_rank	0.5
BM25	101587	P_5	0.2
BM25	101587	ndcg	0.29038895006073384
BM25	101591	bpref	0.2
BM25	101591	recip_rank	0.005813953488372093
BM25	101591	P_5	0.0
BM25	101591	ndcg	0.04882182204329546
BM25	101637	bpref	0.14285714285714285
BM25	101637	recip_rank	0.058823529411764705
BM25	101637	P_5	0.0
BM25	101637	ndcg	0.07281984913958961
BM25	101746	bpref	0.42857142857142855
BM25	101746	recip_rank	0.09090909090909091
BM25	101746	P_5	0.0
BM25	101746	ndcg	0.27293507527979044
BM25	101838	bpref	1.0
BM25	101838	recip_rank	1.0
BM25	101838	P_5	0.4
BM25	101838	ndcg	0.7220183042747541
BM25	101847	bpref	0.5
BM25	101847	recip_rank	0.5
BM25	101847	P_5	0.4
BM25	101847	ndcg	0.2857650373872901
BM25	101962	bpref	0.0
BM25	101962	recip_rank	0.002785515320334262
BM25	101962	P_5	0.0
BM25	101962	ndcg	0.05617598755674059
BM25	101963	bpref	0.16666666666666666
BM25	101963	recip_rank	0.5
BM25	101963	P_5	0.2
BM25	101963	ndcg	0.23214740266135997
BM25	1020168	bpref	0.0
BM25	1020168	recip_rank	0.0
BM25	1020168	P_5	0.0
BM25	1020168	ndcg	0.0
BM25	10209	bpref	1.0
BM25	10209	recip_rank	1.0
BM25	10209	P_5	0.2
BM25	10209	ndcg	0.5658930911102076
BM25	102093	bpref	0.6666666666666666
BM25	102093	recip_rank	0.004366812227074236
BM25	102093	P_5	0.0
BM25	102093	ndcg	0.12685562463433198
BM25	102099	bpref	0.5
BM25	102099	recip_rank	0.024390243902439025
BM25	102099	P_5	0.0
BM25	102099	ndcg	0.1685790467406109
BM25	1021986	bpref	0.6666666666666666
BM25	1021986	recip_rank	0.011494252873563218
BM25	1021986	P_5	0.0
BM25	1021986	ndcg	0.13369124642611088
BM25	1022007	bpref	0.2
BM25	1022007	recip_rank	0.015151515151515152
BM25	1022007	P_5	0.0
BM25	1022007	ndcg	0.06490972078009785
BM25	10223	bpref	0.6666666666666667
BM25	10223	recip_rank	0.16666666666666666
BM25	10223	P_5	0.0
BM25	10223	ndcg	0.32576904417055014
BM25	1022923	bpref	0.14285714285714285
BM25	1022923	recip_rank	0.00684931506849315
BM25	1022923	P_5	0.0
BM25	1022923	ndcg	0.029947223045802798
BM25	1023244	bpref	0.875
BM25	1023244	recip_rank	0.012658227848101266
BM25	1023244	P_5	0.0
BM25	1023244	ndcg	0.22141769269119668
BM25	1024281	bpref	0.5
BM25	1024281	recip_rank	0.06666666666666667
BM25	1024281	P_5	0.0
BM25	1024281	ndcg	0.22932689762260702
BM25	102458	bpref	0.8
BM25	102458	recip_rank	1.0
BM25	102458	P_5	0.4
BM25	102458	ndcg	0.6214730818090589
BM25	102492	bpref	1.0
BM25	102492	recip_rank	0.0037593984962406013
BM25	102492	P_5	0.0
BM25	102492	ndcg	0.1272593079112434
BM25	1025656	bpref	0.42857142857142855
BM25	1025656	recip_rank	0.027777777777777776
BM25	1025656	P_5	0.0
BM25	1025656	ndcg	0.1261808486107411
BM25	1025793	bpref	0.4444444444444444
BM25	1025793	recip_rank	0.02857142857142857
